Date,Close/Last,Volume,Open,High,Low,Symbol
8/8/2025,$310.54 ,9253803,$311.44 ,$313.70 ,$301.23 ,COIN
8/7/2025,$310.79 ,13857160,$311.23 ,$317.94 ,$306.98 ,COIN
8/6/2025,$303.58 ,15982740,$297.55 ,$304.77 ,$293.31 ,COIN
8/5/2025,$297.99 ,16863870,$307.11 ,$312.85 ,$297.20 ,COIN
8/4/2025,$318.17 ,12106370,$319.54 ,$324.00 ,$311.00 ,COIN
8/1/2025,$314.69 ,31342210,$335.14 ,$337.58 ,$310.55 ,COIN
7/31/2025,$377.76 ,12371230,$382.89 ,$387.14 ,$376.83 ,COIN
7/30/2025,$377.48 ,11099970,$382.95 ,$386.58 ,$372.71 ,COIN
7/29/2025,$371.44 ,9334666,$383.59 ,$384.78 ,$365.74 ,COIN
7/28/2025,$379.49 ,11270400,$394.62 ,$395.39 ,$375.26 ,COIN
7/25/2025,$391.66 ,8643321,$391.90 ,$397.48 ,$386.39 ,COIN
7/24/2025,$396.70 ,7904563,$404.25 ,$405.31 ,$392.00 ,COIN
7/23/2025,$397.81 ,12433160,$399.99 ,$400.72 ,$387.12 ,COIN
7/22/2025,$404.44 ,14554940,$419.10 ,$420.98 ,$394.37 ,COIN
7/21/2025,$413.63 ,17018150,$425.55 ,$436.38 ,$413.44 ,COIN
7/18/2025,$419.78 ,28063200,$419.82 ,$444.65 ,$406.50 ,COIN
7/17/2025,$410.75 ,16840540,$399.70 ,$415.96 ,$394.28 ,COIN
7/16/2025,$398.20 ,14404660,$392.80 ,$405.88 ,$391.46 ,COIN
7/15/2025,$388.02 ,16889290,$391.53 ,$400.88 ,$373.02 ,COIN
7/14/2025,$394.01 ,12473530,$392.50 ,$398.50 ,$388.58 ,COIN
7/11/2025,$387.06 ,16694620,$390.19 ,$395.50 ,$378.37 ,COIN
7/10/2025,$388.96 ,17241600,$372.41 ,$389.16 ,$369.00 ,COIN
7/9/2025,$373.85 ,13238440,$358.63 ,$374.00 ,$353.29 ,COIN
7/8/2025,$354.82 ,9734990,$362.75 ,$368.79 ,$348.00 ,COIN
7/7/2025,$357.10 ,7885346,$354.20 ,$364.00 ,$351.00 ,COIN
7/3/2025,$355.80 ,6704285,$350.35 ,$357.87 ,$348.50 ,COIN
7/2/2025,$354.45 ,12493120,$340.58 ,$357.16 ,$338.68 ,COIN
7/1/2025,$335.33 ,13132140,$339.98 ,$353.40 ,$334.00 ,COIN
6/30/2025,$350.49 ,11227560,$359.23 ,$360.45 ,$347.90 ,COIN
6/27/2025,$353.43 ,29000430,$369.54 ,$372.50 ,$346.66 ,COIN
6/26/2025,$375.07 ,27371410,$354.53 ,$382.00 ,$354.53 ,COIN
6/25/2025,$355.37 ,30154320,$360.60 ,$369.28 ,$343.62 ,COIN
6/24/2025,$344.82 ,29670920,$314.39 ,$348.97 ,$311.90 ,COIN
6/23/2025,$307.59 ,17553690,$302.08 ,$314.25 ,$294.56 ,COIN
6/20/2025,$308.38 ,31468820,$303.58 ,$310.75 ,$298.10 ,COIN
6/18/2025,$295.29 ,37434260,$254.00 ,$299.32 ,$251.88 ,COIN
6/17/2025,$253.85 ,9050764,$256.63 ,$259.63 ,$248.68 ,COIN
6/16/2025,$261.57 ,12034650,$247.77 ,$263.30 ,$245.32 ,COIN
6/13/2025,$242.71 ,7062666,$237.45 ,$243.20 ,$235.29 ,COIN
6/12/2025,$241.05 ,7725301,$246.52 ,$247.75 ,$239.35 ,COIN
6/11/2025,$250.68 ,5986082,$257.21 ,$259.90 ,$249.06 ,COIN
6/10/2025,$254.94 ,5857966,$258.88 ,$262.40 ,$251.63 ,COIN
6/9/2025,$256.63 ,6064774,$255.66 ,$258.25 ,$252.40 ,COIN
6/6/2025,$251.27 ,7360213,$250.53 ,$256.17 ,$249.78 ,COIN
6/5/2025,$244.20 ,12017060,$261.05 ,$265.65 ,$240.08 ,COIN
